species,antibiotic,count
Klebsiella_Variicola,Ampicillin,105
Klebsiella_Variicola,Gentamicin,105
Klebsiella_Variicola,Cefuroxime,105
Staphylococcus_Lugdunensis,Mupirocin,104
Enterococcus_Faecium,Clindamycin,103
Enterobacter_Cloacae,Aztreonam,98
Staphylococcus_Lugdunensis,Levofloxacin,96
Proteus_Mirabilis,Cefoxitin,96
Enterobacter_Cloacae,Piperacillin,95
Enterobacter_Cloacae,Cefotaxime,95
Enterobacter_Cloacae,Ticarcillin,94
Enterococcus_Faecium,Oxacillin,94
Enterococcus_Faecium,Mupirocin,94
Enterobacter_Cloacae,Cefixime,94
Staphylococcus_Hominis,Teicoplanin,94
Proteus_Vulgaris,Nitrofurantoin,93
Morganella_Morganii,Polymyxin B,93
Enterococcus_Faecium,Amoxicillin,91
Klebsiella_Variicola,Fosfomycin,90
Staphylococcus_Aureus,Novobiocin,89
Proteus_Vulgaris,Fosfomycin,88
Serratia_Marcescens,Polymyxin B,87
Proteus_Mirabilis,Cotrimoxazol,85
Pseudomonas_Aeruginosa,Ceftolozane-Tazobactam,82
Enterobacter_Cloacae,Tigecycline,80
Citrobacter_Freundii,Cefuroxime,79
Staphylococcus_Lugdunensis,Chloramphenicol,74
Staphylococcus_Haemolyticus,Mupirocin,73
Haemophilus_Influenzae,Meropenem_without_meningitis,72
Staphylococcus_Lugdunensis,Tobramycin,71
Staphylococcus_Lugdunensis,Minocycline,71
Staphylococcus_Lugdunensis,Pristinamycin,71
Staphylococcus_Lugdunensis,Amikacin,71
Haemophilus_Influenzae,Meropenem_with_meningitis,70
Enterococcus_Faecalis,Strepomycin_high_level,70
Enterobacter_Cloacae,Cotrimoxazol,69
Proteus_Vulgaris,Polymyxin B,68
Staphylococcus_Hominis,Mupirocin,67
Haemophilus_Influenzae,Clarithromycin,64
Citrobacter_Freundii,Nitrofurantoin,64
Staphylococcus_Lugdunensis,Clarithromycin,63
Staphylococcus_Lugdunensis,Doxycycline,63
Klebsiella_Variicola,Aztreonam,62
Klebsiella_Variicola,Cefotaxime,62
Citrobacter_Koseri,Piperacillin,62
Klebsiella_Variicola,Ticarcillin,62
Citrobacter_Koseri,Chloramphenicol,62
Klebsiella_Variicola,Cefixime,62
Streptococcus_Pneumoniae,Cotrimoxazole,61
Staphylococcus_Capitis,Mupirocin,60
Campylobacter_Jejuni,Tetracycline,60
Staphylococcus_Haemolyticus,Levofloxacin,60
Staphylococcus_Haemolyticus,Fosfomycin,60
Staphylococcus_Epidermidis,Doxycycline,58
Citrobacter_Freundii,Polymyxin B,57
Streptococcus_Pneumoniae,Meropenem_with_pneumonia,56
Streptococcus_Pneumoniae,Meropenem_with_meningitis,56
Haemophilus_Influenzae,Amoxicillin,56
Staphylococcus_Hominis,Fosfomycin,56
Staphylococcus_Hominis,Levofloxacin,56
Klebsiella_Variicola,Tigecycline,55
Haemophilus_Influenzae,Chloramphenicol,55
Campylobacter_Jejuni,Azithromycin,52
Campylobacter_Jejuni,Clarithromycin,52
Campylobacter_Jejuni,Cefalotin-Cefazolin,52
Enterococcus_Faecalis,Amoxicillin,52
